formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
당신의 말이 맞다면 적어도 아무도 다치지 않길 바랍니다.	네 말이 맞다면 적어도 아무도 다치지 않길 바란다.	휴먼. 말. 맞다면. 부상자. 부재. 희망.	니 말이 맞음 적어도 아무도 다치진 않겠지?	네 말이 맞으면 아무도 안다쳤으면 좋겠다	니 말이 맞으면 아무도 안 다치겠지?	네 말처럼 아무도 다치지 않았길 바란다…(。_。)	니 말이 맞다면 적어도 아무도 안다치겠지..?	당신의 말이 맞다면 적어도 아무도 다치지 않길 바랍니다.	자네 말처럼…아무도 안다쳤으면 좋겠구먼…	니 놈 말이 맞다면 적어도 어떤 놈도 다치지 않았길 바래야 할거다	니말이 맞으면 다친 사람은 없었길 바람	그대의 말이 맞다면, 적어도 아무도 다치지 않길 바라오.	네 말처럼 아무도 안다쳤기를 바란다니깐!	그대의 말처럼 아무도 다치지 않았길 바라오…	너 말이 맞으면 적어도 아무도 다치진 않았어야 될텐데..	당신의 말이 맞다면, 부상자가 없기를 희망합니다.
저도 사람을 다치게 하고 싶어서 불을 지른게 아니에요. 전 나무가 싫을 뿐이지.	나도 사람을 다치게 하고 싶어서 불을 지른게 아니야. 난 나무가 싫을 뿐이지.	안드로이드. 휴먼. 부상. 의도. 방화. 아님. 안드로이드. 나무. 비선호.	나도 사람을 다치게 하고 싶지 않아서 불을 지른게 아녀 난 나무가 싫은거지	내가 사람 다치게 할려고 불 지른게 아님. 나무가 싫었을 뿐!	나도 사람을 다치게 할 생각은 없음 걍 나무가 싫을 뿐이지	내가 사람 다치게 할려고 불 지른게 아니야 ┗|｀O′|┛ 단지 나무가 싫은 것 뿐이지 ( ˘︹˘ )	나두 사람 다치게 하려구 불 지른 게 아냐!! 나무가 싫을 뿐이징,,,	저도 사람을 다치게 하고 싶어서 불을 지른 게 아닙니다. 단지 나무가 싫을뿐,,,	난..사람을 다치게 하려고..불을 지른게 아니구먼..단지….난 나무가 싫을 뿐이여…	염병 난 사람 다치게 하려고 불 지른 게 아녀 지랄맞은 나무가 꼴 뵈기 싫은거제	나도 사람 다치게 하고 싶어서 불 지른게 아니라고 ㅡㅡ 나무가 싫다는건데 뭔솔	짐 또한 사람을 다치게 하고 싶어서 불을 지른 것이 아니오. 짐은 나무가 싫을 뿐이오.	난 사람을 다치게 하려고 불 지른게 아니라니깐! 난 나무가 싫었을 뿐이라니깐!	소생은 사람을 다치게 하려고 불을 지른것이 아니오! 단지 나무가 싫었던 것 뿐이오!	나도 사람 다치게 하고 싶지는 않아서 불 지른게 아니야.. 난 나무가 싫을 뿐이야..	사람을 다치게 하는 것은 내가 방화에 있어 시도한 것이 아닙니다, 나는 그저 나무를 증오.
당신의 나무를 향한 증오는 이해가 안 갑니다.	너의 나무를 향한 증오는 이해가 안 간다.	휴먼. 나무. 증오. 이해. 어려움.	너가 나무를 그~렇게까지 증오하는 게 이해가 안된다	너가 나무 싫어하는 증오가 이해간 안간다 ㅋㅋ	나무를 웰케 싫어함? 이해가 안되네	네가 나무를 싫어하는건 이해가 안가네…(。_。)	너의 나무를 향한 증오는,,, 이해가 안된다ㅜㅜ	당신의 나무를 향한 증오는 이해가 안갑니다.	자네가 나무를 싫어하는건 이해가 되지 않는 구먼…	니 그 등신같은 증오는 이해 못혀	나무를 향한 증오가 이해가 안가네 대체 ㅡㅡ	그대의 나무를 향한 증오는 이해하기 어렵소.	네가 나무 싫어하는건 이해가 안된다니깐!	그대가 나무를 싫어하는 것은 이해가 되지 않는 것이오…	너의 나무를 향한 증오는 이해가 어려운 것 같아..	당신이 가지고 있는 나무에 대한 증오를 이해하기 어려운.
																
데이브는 가장 좋아하는 과일이 있어요?	데이브는 가장 좋아하는 과일이 있어?	데이브. 선호. 과일. 무엇인가.	데이브는 가장 좋아하는 과일이 뭐여?	데이브는 좋아하는 과일 있음?	데이브! 가장 좋아하는 과일이 뭐임?	데이브! 너가 가장 좋아하는 과일이 뭐야? (+_+)?	데이브! 젤 좋아하는 과일이 있어???	데이브님은 가장 좋아하는 과일이 있습니까?	데이브…자네가 가장 좋아하는 과일이 무엇인가?...	니가 데이브냐 좋아하는 과일이 뭐냐 이눔아	데이브는 가장 좋아하는 과일 뭐냐	데이브는 가장 선호하는 과일이 무엇인가?	데이브, 네가 가장 좋아하는 과일이 뭐냐니깐!	데이브공! 가장 좋아하는 과일이 무엇이오?	데이브는 가장 좋아하는 과일 있어 혹시..?	데이브, 가장 선호하는 과일을 가지고 있습니까?
저는 바나나가 제일 좋은 것 같은데요.	나는 바나나가 제일 좋은 것 같은데.	안드로이드. 바나나. 제일. 선호.	난 바나나가 제~일 좋은 거 같은데	난 바나나가 젤 좋은거 같음	난 바나나?	난 바나나가 가장 좋아! Ψ(｀∇´)ψ	난 바나나! 젤 좋은 거 가타 ㅎㅎ	저는 바나나가 제일 좋은 것 같습니다. 	나는…바나나가 가장 좋구먼…	바나나. 니기럴 이런 건 왜 물어보는거여	난 바나나가 제일 좋음 왜	짐은 바나나를 제일 선호하오.	난 바나나가 가장 좋다니깐!	소생은 바나나가 제일 좋은 것이오!	난 바나나가 제일 좋은 것 같은데..	나는 바나나를 제일 선호하는.
저도 바나나를 좋아하지만, 특별한 이유라도 있어요?	나도 바나나를 좋아하지만, 특별한 이유라도 있어?	안드로이드. 바나나. 선호. 이유. 있는가.	나도 바나나를 좋아하지만, 특별한 이유라도 있나?	나도 바나나 좋긴한데 이유라도 있음?	나도 바나나 좋아하는데, 제일 좋아하는 이유가 있음?	나도 바나나 좋아하는데 특별한 이유 있어? (⊙_⊙)？	나두 바나나 좋아하긴 하는데, 특별한 이유가 있엉??	저도 바나나를 좋아하지만,, 특별한 이유라도 있으십니까?	나도..바나나를 좋아허는디…자네는 이유가 무엇인가?..	염병 나도 좋아혀 근디 뭔 염병할 이유로 그런다냐?	나도 바나나 좋아하긴 함ㅋ 왜 좋아하는데	짐 또한 바나나를 선호하나, 특별한 이유라도 있는가?	나도 바나나가 좋다니깐! 좋아하는 이유가 뭐냐니깐!	소생도 바나나를 좋아하오만 특별한 이유가 있는 것이오?	나도 바나나 좋아하긴 하는데.. 특별한 이유라도 있어 혹시..?	나 또한 바나나의 큰 애호가입니다, 특별한 이유를 가지고 있는?
바나나는 까서 먹기 쉽잖아요. 자연이 알아서 포장해준 것 같아서 편해요.	바나나는 까서 먹기 쉽잖아. 자연이 알아서 포장해준 것 같아서 편해.	바나나. 까기. 먹기. 쉬움. 자연. 스스로. 포장. 따라서. 편리.	바나나는 까먹기 쉽잖아. 자연이 알아서 포장해준 것 같아 편해	바나나는 까서 먹기 쉽잖음. 자연이 알아서 포장해준 것 같아서 편함 ㅋㅋㅋ	까서 먹기 편하잖 ㅋㅋ 자연이 알아서 포장해준 느낌?	바나나는 까서 먹기가 쉽잖아. ( •̀ ω •́ )✧ 자연이 알아서 포장해준 것 같아서 편하드라 ^0^	바나나는 까서 먹기 쉽자나! 자연이 알아서 포장해준 거 가타서 편해 ㅎㅎ	바나나는 까서 먹기 쉽지 않습니까. 자연이 알아서 포장해준 것 같아서 편합니다.	바나나는 말이여…까서 먹기가 쉬우니께…자연이 알아서 포장해준 것 같은 느낌이 들어서 편하더구먼…	내가 닐 깔 순 읎어도 바나나는 쉽게 깔 수 있지 않냐 자연놈이 알아서 포장이란 걸 하는게 장허지 않냐	바나나는 까서 먹기 쉽잖아 ㅡㅡ 자연이 알아서 포장해준거라 편함	바나나는 까서 먹기 쉬운 탓이오. 자연이 알아서 포장해준 것 같아 편하오.	바나나는 까서 먹기가 쉽다니깐! 자연이 알아서 포장해준 것 같은 느낌이 들어서 편하다니깐!	바나나는 까서 먹기가 쉽기 때문이오! 마치 자연이 스스로 포장을 해준것 같아 편한 느낌이 드는 것이오! 	바나나는 까서 먹기 쉽잖아.. 자연이 알아서 포장해준 것 같아서 편해..	바나나는 까서 먹기 쉽습니다. 자연이 스스로 포장을 제공하여 편리한.
맛있어서 좋아하는게 아니였었어요?	맛있어서 좋아하는게 아니였었어?	선호. 이유. 맛있음. 아닌가.	맛나서 좋아하는 게 아녔어?	맛있어서 좋아하는게 아님??	맛있어서 좋아하는 게 아니라? ㅋㅋ	맛있어서 좋아하는게 아니야? (＃°Д°)	맛있어서 좋아하는 게 아녔어?!	맛있어서 좋아하는 게 아니였습니까?	맛있어서 좋아허는게 아닌겐가?...	니미럴 뭔 음식을 맛나서 좋아하는 게 아니냐	맛있어서 좋아하는 거 아님?	맛있어서 좋아하는게 아니었는가?	맛있어서 좋아하는게 아니였냐니깐!	맛있어서 좋아하는 것이 아니였던 것이오?	맛있어서 좋아하는게 아니였어..?	맛있는 이유로 선호하는 것이 아닙니까?
물론 맛있기도 하지만, 기본적으로 과일은 다 맛있지 않아요?	물론 맛있기도 하지만, 기본적으로 과일은 다 맛있지 않아?	물론. 맛있음. 그러나. 기본적. 과일. 다. 맛있음.	물론. 맛있기도 한데, 기본적으로 과일은 다 맛나지	물론 맛있긴한데 원래 보통 과일은 다 맛있지 않음? ㅋ	아니 맛있기도 한데, 기본적으로 과일은 다 맛있잖아	물론 맛도 있지만, 보통 과일은 다 맛있지 않아? （⊙ｏ⊙）	물론! 맛있기두 한데, 기본적으로 과일은 다 맛있지 않아?!?!	물론 맛있기도 합니다. 하지만 기본적으로 과일은 다 맛있지 않습니까?	물론 맛도 았지….근디…과일들은 보통 다 맛있지 않혀?...	물론 맛도 나는디 아니 염병 원래 과일은 다 맛나잖어 이눔아	맛있기도 하지 ㅋ 기본적으로 과일은 다 맛있지 않냐	물론 맛있기도 하나, 기본적으로 과일은 다 맛있지 아니한가?	물론 맛있다니깐! 근데 보통 과일은 다 맛있는게 아니냐니깐!	물론 맛도 있소! 하지만 보통 과일은 다 맛있는 것 아니오?	물론 맛있기도 한데.. 기본적으로 과일은 다 맛있지 않나..?	그것은 물론 맛있는, 그러나 기본적으로 과일은 다 맛이 좋습니다.
그건 사실이지요.	그건 사실이지.	사실.	그건 사실이지~	그건 팩트지 ㅋㅋ	그건 팩트지	그건 맞지 (★‿★)	그건 인정이지	그건 사실입니다.	그건 맞구먼..	염병 글킨하제	맞지 그건	그것은 사실이로오.	그건 맞다니깐!	그건 맞소!	그건 사실이긴 하지..	그것은 사실인.
그리고 바나나는 영양도 풍부한 것 같아요.	그리고 바나나는 영양도 풍부한 것 같아.	그리고. 바나나. 영양. 풍부.	그리고 바나나는 영양도 풍부~하지	글구 바나나는 영양도 풍부한 것 같음	글고 바나나는 영양도 풍부한 듯	그리고 바나나는 영양도 풍부해! (❁´◡`❁)	글구 바나나는 영양두 풍부한 거 가타 ㅎㅎ	그리고 바나나는 영양도 풍부한 것 같습니다.	그리고 바나나는 영양도 풍부하구먼…	글고 바나나 그 염병할 것은 영양도 풍부혀	바나나는 영양도 풍부함 그리고	더구나 바나나는 영양도 풍부하오.	그리고 바나나는 영양도 풍부하다니깐!	그리고 바나나는 영양도 풍부하오!	그리고 바나나는 영양도 풍부한 것 같아..	또한, 바나나는 풍부한 영양을 가지고 있다.
칼륨이 많다고는 들었어요.	칼륨이 많다고는 들었어.	칼륨. 많음.	칼륨이 많다곤 들었는데	칼륨이 많다고는 들었음	칼륨이 많다고는 들음	칼륨이 많다고는 들은 것 같아 ヽ(✿ﾟ▽ﾟ)ノ	칼륨이 많다곤 들었어!	칼륨이 많다고는 들었습니다.	칼륨이 많다고는 들었구먼…	칼륨인가도 많잖여 시부럴	칼륨이 많다고는 하데 ㅋ	칼륨이 많다고는 들었소.	칼륨이 많다고는 들었다니깐!	칼륨이 많다고는 들은 것 같소!	칼륨이 많다고는 들은 것 같아..	나는 그것이 칼륨을 많이 포함하고 있다고 확인.
당신은 좋아하는 과일이 따로 있어요?	너는 좋아하는 과일이 따로 있어?	휴먼. 선호. 과일. 무엇인가.	넌 좋아하는 과일이 있나?	너 좋아하는 과일 따로 있음?	넌 좋아하는 과일 따로 잇음?	넌 좋아하는 과일 따로 있는거야? (´･ω･`)?	넌 좋아하는 과일이 따로 있엉???	선생님은 좋아하는 과일이 따로 있으십니까?	자네는…좋아하는 과일이 따로 	니 놈은 좋아하는 과일이 있냐?	넌 좋아하는 과일 뭔데	그대는 선호하는 과일이 따로 있는가?	넌 좋아하는 과일이 따로 있냐니깐!	그대는 좋아하는 과일이 따로 있는 것이오?	넌 좋아하는 과일 따로 있어 혹시..?	당신은 선호 과일을 따로 가지고 있습니까?
전 사과를 좋아하는 것 같아요.	난 사과를 좋아하는 것 같아.	안드로이드. 사과. 선호.	난 사과를 좋아하는 거 같네	난 사과 좋아하는 듯 	난 사과	난 사과를 좋아해 (★‿★)	난 사과!	전 사과를 좋아합니다.	나는…사과를 좋아하는 구먼…	사과	난 사과 좋아하지	짐은 사과를 선호하오.	난 사과가 좋다니깐!	소생은 사과를 좋아하오!	난 사과 좋아하는 것 같아..	나는 사과의 큰 애호가.
사과도 많은 사람들이 좋아하는 과일이지요.	사과도 많은 사람들이 좋아하는 과일이지.	사과. 많은 휴먼. 선호. 과일.	사과도 많은 사람들이 좋아하는 과일이제	사과도 좋아하는 사람 많지 ㅋㅋ	사과도 사람들이 많이 좋아하지	사과도 사람들이 많이 좋아하지 ψ(｀∇´)ψ	사과두 많은 사람들이 좋아하는 과일이징 ㅎㅎ	사과도 많은 사람들이 좋아하는 과일이지요.	사과도 사람들이 많이들…좋아하는 과일이지…	사과도 엥간한 미친년놈들이 다 좋아허는 과일이제	사과도 많이들 좋아하긴 하지 ㅋ	사과 또한 많은 이들이 선호하는 과일이오.	사과도 사람들이 많이 좋아한다니깐!	사과도 사람들이 많이 좋아하는 것이오!	사과도 많은 사람들이 좋아하는 과일인 것 같아..	사과는 많은 사람들에게 인기있는 과일입니다.
그냥 먹어도 맛있지만, 갈아서 주스로 만들거나 잼으로 만들어 먹어도 맛있잖아요.	그냥 먹어도 맛있지만, 갈아서 주스로 만들거나 잼으로 만들어 먹어도 맛있잖아.	그냥. 섭취. 맛있음. 그러나. 분쇄. 주스. 만듬. 잼. 만듬. 맛있음.	그~냥 먹어도 맛난데, 갈아서 주스로 만들거나 잼으로 만들어 먹어도 맛나	그냥 먹어도 맛있긴한데 갈아서 주스나 잼으로 해서 먹어도 맛있잖 ㅋㅋㅋ	그냥 먹어도 맛있고 주스나 잼으로 만들어 먹어도 맛있잖어	그냥 먹어도 맛있긴한데, 같아서 주스로 만들어서 먹거나 잼으로 만들어서 먹어도 맛있지~(❁´◡`❁)	걍 먹어두 맛있구!! 갈아서 주스로 만들거나 잼으로 만드러두 맛있자나!!	그냥 먹어도 맛있지만, 갈아서 주스로 만들거나 잼으로 만들어 먹어도 맛있잖습니까.	그냥 먹어도 맛있긴헌디…갈아서 주스로 마시거나…잼으로 만들어서 먹는 것도 맛있더구먼…	그냥 먹어도 환장하게 맛난게 갈아서 주스냐 잼 맹키로 맹글어 먹어도 만나불재	그냥 먹어도 맛있지만 갈아서 주스나 잼 만들어먹어도 좋잖아	그냥 먹어도 맛있으나, 갈아서 주스로 만들거나 잼으로 만들어 먹어도 맛있소.	그냥 먹어도 맛있는데, 갈아서 주스로 마시거나 잼으로 만들어 먹는 것도 맛있다니깐!	그냥 먹어도 맛있지만, 갈아서 주스로 만들어 먹거나 잼으로 만들어서 먹는 것도 맛있는 것이오!	그냥 먹어도 맛있는데 갈아서 주스로 만들거나 잼으로 만들어 먹어도 맛있는 것 같아..	그것은 그 자체로 맛있지만, 갈아서 주스로 만들거나 잼으로 만들어 먹어도 맛이 좋다.
